ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
60,"Asa Svensson","06/16/75 00:00:00","SWE",,,,,,,,,,,,1569134,,,,,,,
61,"Anne Miller","01/19/77 00:00:00","USA",,,,,,,,,,,,,,,,,,,
62,"Barbara Paulus","09/01/70 00:00:00","AUT",,,,,,,,,,,,1294445,,,,,,,
63,"Miho Saeki","03/18/76 00:00:00","JPN",,,,,,,,,,,,600516,,,,,,,
64,"Elena Makarova","02/01/73 00:00:00","RUS",,,,,,,,,,,,594200,,,,,,,
65,"Magdalena Grzybowska","11/22/78 00:00:00","POL",,,,,,,,,,,,542889,,,,,,,
66,"Anne Kremer","10/17/75 00:00:00","LUX",,,,,,,,,,,,1567312,,,,,,,
67,"Lenka Cenkova","01/24/77 00:00:00","CZE",,,,,,,,,,,,140669,,,,,,,
68,"Larisa Savchenko","07/21/66 00:00:00","LAT",,,,,,,,,,,,4083936,,,,,,,
69,"Siobhan Drake-Brockman","04/07/78 00:00:00","AUS",,,,,,,,,,,,,,,,,,,
70,"Mana Endo","02/06/71 00:00:00","JPN",,,,,,,,,,,,463765,,,,,,,
71,"Arantxa Sanchez-Vicario","12/18/71 00:00:00","ESP",,,,,,,,,,,,16942639,,,,,,,
72,"Amy Frazier","09/19/72 00:00:00","USA",,,,,,,,,,,,3460798,,,,,,,
73,"Sandra Dopfer","05/25/70 00:00:00","AUT",,,,,,,,,,,,382801,,,,,,,
74,"Jennifer Capriati","03/29/76 00:00:00","USA",,,,,,,,,,,,10206639,,,,,,,
75,"Chanda Rubin","02/18/76 00:00:00","USA",,,,,,,,,,,,4470180,,,,,,,
76,"Rene Collins","01/14/66 00:00:00","CAN",,,,,,,,,,,,,,,,,,,
77,"Karina Habsudova","08/02/73 00:00:00","SVK",,,,,,,,,,,,1878228,,,,,,,
78,"Lindsay Davenport","06/08/76 00:00:00","USA",,,,,,,,,,,,22166338,,,,,,,
79,"Lisa Raymond","08/10/73 00:00:00","USA",,,,,,,,,,,,10026421,,,,,,,
80,"Naoko Sawamatsu","03/23/73 00:00:00","JPN",,,,,,,,,,,,1107264,,,,,,,
81,"Meilen Tu","01/17/78 00:00:00","USA",,,,,,,,,,,,1590411,,,,,,,
