TOUR,DATE_GAME,ID1,ID2,ROUND,DRAW,RESULT,COMPLETE,LIVE,TIME_GAME,RESERVE_INT,RESERVE_CHAR
20588,,3700,3700,3,6,,,,,,
20588,,3700,3700,3,7,,,,,,
20588,,3700,3700,3,8,,,,,,
20590,,56891,3700,1,1,"bye",,,,,
20590,,66852,117100,1,2,"6-1 6-1",,,,,
20590,,66217,3700,1,4,"bye",,,,,
20590,,88378,3700,1,5,"bye",,,,,
20590,,107882,62750,1,6,"6-1 6-2",,,,,
20590,,91723,74540,1,7,"6-2 6-0",,,,,
20590,,111498,3700,1,8,"bye",,,,,
20590,,30099,3700,1,9,"bye",,,,,
20590,,116696,104076,1,10,,,,,,
20590,,88217,103602,1,11,"6-1 7-5",,,,,
20590,,81817,3700,1,12,"bye",,,,,
20590,,85193,3700,1,13,"bye",,,,,
20590,,114005,102455,1,14,,,,,,
20590,,105172,3700,1,15,"bye",,,,,
20590,,88360,3700,1,16,"bye",,,,,
20590,,52335,3700,1,17,"bye",,,,,
20590,,90068,9844,1,18,,,,,,
20590,,34680,34288,1,19,,,,,,
20590,,116706,101053,1,20,,,,,,
20590,,71357,3700,1,21,"bye",,,,,
20590,,95141,89253,1,22,"6-3 6-7(4) 10-4",,,,,
20590,,62702,99984,1,23,"6-2 6-0",,,,,
20590,,87316,27779,1,24,,,,,,
20590,,94958,3700,1,25,"bye",,,,,
20590,,116433,91532,1,27,,,,,,
20590,,91976,86372,1,28,"6-2 6-2",,,,,
20590,,86813,3700,1,29,"bye",,,,,
20590,,876,88928,1,30,"6-1 7-5",,,,,
20590,,100218,111614,1,31,,,,,,
20590,,112221,44807,1,32,,,,,,
20590,,56891,66852,2,1,,,,,,
20590,,107885,66217,2,2,,,,,,
20590,,88378,107882,2,3,,,,,,
20590,,91723,111498,2,4,,,,,,
20590,,30099,3700,2,5,,,,,,
20590,,88217,81817,2,6,,,,,,
20590,,85193,3700,2,7,,,,,,
20590,,105172,88360,2,8,,,,,,
20590,,52335,3700,2,9,,,,,,
20590,,3700,3700,2,10,,,,,,
20590,,71357,95141,2,11,,,,,,
20590,,62702,3700,2,12,,,,,,
20590,,94958,115976,2,13,,,,,,
20590,,3700,91976,2,14,,,,,,
20590,,86813,876,2,15,,,,,,
20590,,3700,3700,2,16,,,,,,
20590,,3700,3700,3,1,,,,,,
20590,,3700,3700,3,2,,,,,,
20590,,3700,3700,3,3,,,,,,
20590,,3700,3700,3,4,,,,,,
20590,,3700,3700,3,5,,,,,,
20590,,3700,3700,3,6,,,,,,
20590,,3700,3700,3,7,,,,,,
20590,,3700,3700,3,8,,,,,,
20593,,101308,77191,1,2,"6-2 3-6 10-6",,,,,
20593,,73730,118512,1,3,"6-0 6-0",,,,,
20593,,59990,36274,1,4,"1-6 6-3 10-4",,,,,
20593,,51568,97181,1,5,"6-2 6-1",,,,,
20593,,53539,27478,1,6,"3-6 6-4 10-4",,,,,
20593,,50141,36636,1,7,"3-6 6-3 10-6",,,,,
20593,,83790,33694,1,8,"7-5 6-3",,,,,
20593,,56611,38846,1,10,"3-6 6-4 10-4",,,,,
20593,,97989,117896,1,11,"6-1 6-0",,,,,
20593,,26143,102814,1,12,"6-1 6-2",,,,,
20593,,68624,65283,1,13,"6-0 6-2",,,,,
20593,,98883,108186,1,14,"6-4 6-1",,,,,
20593,,40737,32723,1,15,"w/o",,,,,
20593,,68389,101308,3,1,,,,,,
20593,,73730,59990,3,2,,,,,,
20593,,51568,53539,3,3,,,,,,
20593,,50141,83790,3,4,,,,,,
20593,,23087,56611,3,5,,,,,,
20593,,97989,26143,3,6,,,,,,
20593,,68624,98883,3,7,,,,,,
20593,,40737,103327,3,8,,,,,,
20594,,44250,99263,1,1,,,,,,
20594,,101306,118514,1,2,,,,,,
20594,,87296,62181,1,3,,,,,,
20594,,101563,86614,1,4,,,,,,
20594,,83520,102453,1,5,,,,,,
20594,,82589,115588,1,6,,,,,,
20594,,70455,67852,1,7,,,,,,
20594,,63476,115220,1,8,,,,,,
20594,,85842,95486,1,9,,,,,,
20594,,66365,118337,1,10,,,,,,
20594,,30468,90037,1,11,,,,,,
20594,,106997,67017,1,12,,,,,,
20594,,94966,81367,1,13,,,,,,
20594,,94326,117910,1,14,,,,,,
20594,,68307,61386,1,15,,,,,,
20594,,106740,55653,1,16,,,,,,
20594,,87513,118515,1,17,,,,,,
20594,,25911,90933,1,18,,,,,,
20594,,31667,100953,1,19,,,,,,
20594,,108095,69687,1,20,,,,,,
20594,,76650,111980,1,21,,,,,,
20594,,110093,87768,1,22,,,,,,
20594,,66358,118152,1,23,,,,,,
20594,,94144,92055,1,24,,,,,,
20594,,68530,14715,1,25,,,,,,
20594,,14534,68416,1,26,,,,,,
20594,,67380,85678,1,27,,,,,,
20594,,96819,60303,1,28,,,,,,
20594,,23830,106998,1,29,,,,,,
20594,,109739,114900,1,30,,,,,,
20594,,103596,33581,1,31,,,,,,
20594,,106995,96299,1,32,,,,,,
20594,,3700,3700,2,1,,,,,,
20594,,3700,3700,2,2,,,,,,
20594,,3700,3700,2,3,,,,,,
20594,,3700,3700,2,4,,,,,,
20594,,3700,3700,2,5,,,,,,
20594,,3700,3700,2,6,,,,,,
20594,,3700,3700,2,7,,,,,,
20594,,3700,3700,2,8,,,,,,
20594,,3700,3700,2,9,,,,,,
20594,,3700,3700,2,10,,,,,,
20594,,3700,3700,2,11,,,,,,
20594,,3700,3700,2,12,,,,,,
20594,,3700,3700,2,13,,,,,,
20594,,3700,3700,2,14,,,,,,
20594,,3700,3700,2,15,,,,,,
20594,,3700,3700,2,16,,,,,,
20594,,3700,3700,3,1,,,,,,
20594,,3700,3700,3,2,,,,,,
20594,,3700,3700,3,3,,,,,,
20594,,3700,3700,3,4,,,,,,
20594,,3700,3700,3,5,,,,,,
20594,,3700,3700,3,6,,,,,,
20594,,3700,3700,3,7,,,,,,
20594,,3700,3700,3,8,,,,,,
20617,,5069,83428,1,1,,,,,,
20617,,40645,49239,1,2,,,,,,
20617,,36171,101547,1,3,,,,,,
20617,,70867,106901,1,4,,,,,,
20617,,38549,91185,1,5,,,,,,
20617,,98907,83678,1,6,,,,,,
20617,,68533,23073,1,7,,,,,,
20617,,44233,85840,1,8,,,,,,
20617,,43243,40200,1,9,,,,,,
20617,,91841,98903,1,10,,,,,,
20617,,88219,101410,1,11,,,,,,
20617,,115744,92737,1,12,,,,,,
20330,"03/30/25 14:00:00",35323,51417,1,6,,,,,,
20330,"03/30/25 12:30:00",55257,36042,1,7,,,,,,
20330,"03/30/25 12:30:00",72640,10828,1,8,,,,,,
20330,,3700,97365,3,1,,,,,,
20330,,9675,83554,3,2,,,,,,
20330,,3700,3700,3,3,,,,,,
20330,,3700,3700,3,4,,,,,,
20525,"03/30/25 16:30:00",47021,34539,1,1,,,,,,
20525,"03/30/25 15:00:00",23147,41083,1,2,,,,,,
20525,"03/30/25 16:00:00",48442,31335,1,3,,,,,,
20525,"03/30/25 16:00:00",23816,86348,1,4,,,,,,
20525,,23298,100931,1,5,,,,,,
20525,"03/30/25 16:30:00",30931,58606,1,6,,,,,,
20525,"03/30/25 15:00:00",29579,85862,1,7,,,,,,
20525,"03/30/25 15:00:00",77306,17928,1,8,,,,,,
20525,"03/30/25 16:00:00",83223,44979,1,9,,,,,,
20525,"03/30/25 16:00:00",91846,55634,1,10,,,,,,
20525,"03/30/25 16:00:00",84561,19857,1,11,,,,,,
20525,"03/30/25 16:00:00",44990,68981,1,12,,,,,,
