ID_P,NAME_P
145,"Daniel Nestor/Kristie Boogert"
146,"David Rikl/Tina Krizan"
147,"Todd Woodbridge/Eleni Daniilidou"
148,"Sandon Stolle/Catherine Barclay"
149,"Todd Woodbridge/Paola Suarez"
150,"Michael Llodra/Camille Gely"
151,"Martin Damm/Denisa Chladkova"
152,"Martin Rodriguez/Nana Smith"
153,"Mark Knowles/Barbara Schett"
154,"Mansour Bahrami/Tatiana Golovin"
155,"Pavel Vizner/Liezel Huber"
156,"Jonas Bjorkman/Corina Morariu"
157,"Paul Hanley/Nicole Pratt"
158,"Joshua Eagle/Patricia Wartusch"
159,"Leos Friedl/Anna Smashnova"
160,"Tomas Cibulec/Janette Husarova"
161,"Gaston Etlis/Clarisa Fernandez"
162,"Jean-Francois Bachelot/Sophie Lefevre"
163,"Graydon Oliver/Petra Mandula"
164,"Frantisek Cermak/Tina Krizan"
165,"Jared Palmer/Svetlana Kuznetsova"
166,"Daniel Nestor/Janet Lee"
167,"Paul Haarhuis/Nadezda Petrova"
168,"Cyril Suk/Emmanuelle Gagliardi"
169,"Chris Haggard/Francesca Schiavone"
170,"Antony Dupuis/Virginie Razzano"
171,"Mahesh Bhupathi/Paola Suarez"
172,"Arvind Parmar/Anne Keothavong"
173,"Jared Palmer/Abigail Spears"
174,"Nenad Zimonjic/Iroda Tulyaganova"
175,"Mark Merklein/Lisa Mcshea"
176,"Mariano Hood/Tina Krizan"
177,"Jonathan Marray/Julie Pullin"
178,"Jordan Kerr/Milagros Sequera"
179,"Chris Haggard/Emmanuelle Gagliardi"
180,"Devin Bowen/Esme De Villiers"
181,"Jonathan Erlich/Jennifer Russell"
182,"Juan Ignacio Chela/Liga Dekmeijere"
183,"Bob Bryan/Elena Likhovtseva"
184,"Oliver Freelove/Helen Crook"
185,"Andy Ram/Anastasia Rodionova"
186,"Petr Pala/Janette Husarova"
187,"Andrei Olhovskiy/Eugenia Kulikovskaya"
188,"Cyril Suk/Maja Matevzic"
189,"Miles Maclagan/Amanda Keen"
190,"Scott Humphries/Elena Bovina"
191,"Anthony Ross/Amanda Augustus"
192,"Daniel Nestor/Sonya Jeyaseelan"
193,"Andres Schneiter/Maria Vento-Kabchi"
194,"Paul Hanley/Alicia Molik"
195,"John-Laffnie de Jager/Elena Tatarkova"
196,"James Auckland/Sarah Borwell"
197,"Martin Damm/Barbara Rittner"
198,"Johan Landsberg/Jelena Kostanic Tosic"
199,"Leos Friedl/Liezel Huber"
200,"Martin Lee/Jane O'Donoghue"
201,"Myles Wakefield/Natalie Grandin"
202,"Todd Woodbridge/Svetlana Kuznetsova"
203,"Brian MacPhie/Ashley Harkleroad"
204,"Jamie Delgado/Anastasia Myskina"
205,"Alex Lopez-Moron/Rosana De Los Rios"
206,"Simon Aspelin/Caroline Dhenin"
207,"Massimo Bertolini/Tathiana Garbin"
208,"Thomas Shimada/Shinobu Asagoe"
209,"Pavel Vizner/Nicole Pratt"
210,"Lovro Zovko/Vanessa Webb"
211,"Jeff Tarango/Lina Krasnoroutskaya"
212,"Rick Leach/Rachel Mcquillan"
213,"Gaston Etlis/Caroline Vis"
214,"Ashley Fisher/Catherine Barclay"
215,"Tom Vanhoudt/Kristie Boogert"
216,"David Rikl/Emmanuelle Gagliardi"
217,"Cyril Suk/Nana Smith"
218,"Nenad Zimonjic/Jelena Dokic"
219,"Leos Friedl/Janette Husarova"
220,"Jeff Tarango/Mashona Washington"
221,"Mark Knowles/Virginia Ruano Pascual"
222,"Brian Vahaly/Ansley Cargill"
223,"Rick Leach/Meghann Shaughnessy"
224,"Jonas Bjorkman/Chanda Rubin"
225,"Frantisek Cermak/Patricia Wartusch"
226,"Gaston Etlis/Els Callens"
227,"Daniel Nestor/Lina Krasnoroutskaya"
228,"Mariano Hood/Maria Vento-Kabchi"
229,"Jeff Coetzee/Anna Smashnova"
230,"Vince Spadea/Alexandra Stevenson"
231,"Joshua Eagle/Vera Zvonareva"
232,"Todd Woodbridge/Elena Likhovtseva"
233,"Chris Haggard/Eleni Daniilidou"
234,"Alex Jr. Bogomolov/Ashley Harkleroad"
235,"Brian MacPhie/Anastasia Myskina"
236,"Jared Palmer/Nana Smith"
237,"Jonathan Erlich/Liezel Huber"
238,"Jordan Kerr/Nicole Pratt"
239,"Chris Haggard/Emilie Loit"
240,"Lucas Arnold-Ker/Angelique Widjaja"
241,"Chris Guccione/Casey Dellacqua"
242,"Paul Hanley/Trudi Musgrave"
243,"Jonas Bjorkman/Daniela Hantuchova"
244,"Andrew Kratzmann/Daniella Jeflea"
245,"Sebastian Prieto/Emmanuelle Gagliardi"
246,"Martin Rodriguez/Rita Grande"
247,"Mark Merklein/Magui Serna"
248,"Sargis Sargsian/Elena Dementieva"
249,"Martin Damm/Corina Morariu"
250,"Kevin Ullyett/Lisa Raymond"
251,"Andy Ram/Petra Mandula"
252,"Cyril Suk/Myriam Casanova"
253,"Nenad Zimonjic/Elena Bovina"
254,"Jeff Coetzee/Tina Krizan"
255,"Sebastian Prieto/Els Callens"
256,"Pavel Vizner/Sandrine Testud"
257,"Tom Vanhoudt/Jelena Kostanic Tosic"
258,"Todd Woodbridge/Daniela Hantuchova"
259,"Massimo Bertolini/Anna Smashnova"
260,"Feliciano Lopez/Maria Sanchez Lorenzo"
261,"Petr Pala/Tian-Tian Sun"
262,"Michael Llodra/Severine Beltrame"
263,"Jordan Kerr/Lisa Mcshea"
264,"Kevin Ullyett/Rennae Stubbs"
265,"Gaston Etlis/Marion Bartoli"
266,"Jean-Francois Bachelot/Stephanie Cohen-Aloro"
267,"Martin Damm/Maret Ani"
268,"Daniel Nestor/Arantxa Sanchez-Vicario"
269,"Martin Rodriguez/Magui Serna"
270,"Richard Gasquet/Tatiana Golovin"
271,"Chris Haggard/Zi Yan"
272,"Michael Hill/Tathiana Garbin"
273,"Rick Leach/Nicole Pratt"
274,"Pavel Vizner/Lisa Mcshea"
275,"Todd Perry/Jelena Jankovic"
276,"Wayne Arthurs/Milagros Sequera"
277,"Karsten Braasch/Patty Schnyder"
278,"Rainer Schuettler/Barbara Schett"
279,"Irakli Labadze/Tatiana Perebiynis"
280,"Dominik Hrbaty/Henrieta Nagyova"
281,"Arvind Parmar/Jane O'Donoghue"
282,"Scott Humphries/Jennifer Capriati"
283,"Petr Pala/Elena Tatarkova"
284,"Marcin Matkowski/Mashona Washington"
285,"Juan Ignacio Chela/Gisela Dulko"
286,"Tomas Cibulec/Abigail Spears"
287,"Olivier Rochus/Meilen Tu"
288,"David Sherwood/Anne Keothavong"
289,"Yves Allegro/Myriam Casanova"
290,"Jonathan Marray/Amanda Keen"
291,"Martin Garcia/Claudine Schaul"
292,"David Rikl/Barbora Strycova"
293,"Martin Damm/Libuse Prusova"
294,"Michael Kohlmann/Patricia Wartusch"
295,"Cyril Suk/Marion Bartoli"
296,"Bob Bryan/Lindsay Davenport"
297,"Paul Hanley/Ai Sugiyama"
