ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
22,"1996",84,188,"Hamburg, Germany","Bradenton & Los Angeles, USA","Right-Handed, One-Handed Backhand","Christian Groh","http://www.tommyhaas.com","http://www.atpworldtour.com/en/players/tommy-haas/h355/overview","https://twitter.com/TommyHaas13","https://www.facebook.com/pages/Tommy-Haas/133144376702967","https://www.instagram.com/tommyhaasofficial/","01.01.2023"
23,"1994",80,180,"Linkoping, Sweden","Monte Carlo, Monaco","Right-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/thomas-johansson/j129/overview","https://twitter.com/tompatennis",,,"01.01.2023"
24,"1995",88,191,"Palma de Mallorca, Spain","Spain","Right-Handed, Two-Handed Backhand","Luis Lobo",,"http://www.atpworldtour.com/en/players/carlos-moya/m605/overview","https://twitter.com/charlymoya","https://www.facebook.com/bustoscarlos739/","https://www.instagram.com/carlosm_fans1/","01.01.2023"
25,"1994",73,175,"Santiago, Chile","Santiago, Chile","Left-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/marcelo-rios/r286/overview","https://twitter.com/marcelorios75","https://www.facebook.com/marceloriosdios/","https://www.instagram.com/marceloriosoficial/","01.01.2023"
26,"1995",76,180,"Minsk, Belarus","Minsk, Belarus","Right-Handed, Unknown Backhand","Vladimir Voltchkov Sr.",,"http://www.atpworldtour.com/en/players/vladimir-voltchkov/v211/overview",,,,"01.01.2023"
27,"1993",65,175,"Casablanca, Morocco","Monte Carlo, Monaco","Left-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/hicham-arazi/a226/overview",,,,"01.01.2023"
28,"1991",82,185,"Olomouc, Czech Republic","Munich, Germany","Right-Handed, Unknown Backhand","Klaus Langenbach",,"http://www.atpworldtour.com/en/players/david-prinosil/p273/overview",,,,"01.01.2023"
29,"1994",82,193,"Weert, The Netherlands","Monte Carlo, Monaco","Right-Handed, One-Handed Backhand","Willem Jan van Hulst",,"http://www.atpworldtour.com/en/players/sjeng-schalken/s572/overview",,,,"01.01.2023"
30,"2000",69,175,"Rufino, Argentina","Venado Tuerto, Argentina","Right-Handed, Two-Handed Backhand","Martin Rodriguez",,"http://www.atpworldtour.com/en/players/guillermo-coria/c524/overview","https://twitter.com/guillecoria","https://www.facebook.com/Guillermo-Coria-36404327798/","https://www.instagram.com/guillermocoriaok/","01.01.2023"
31,"1990",91,198,"Hinsdale, Illinois, USA","Ponte Vedra Beach, FL, USA","Right-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/todd-martin/m442/overview","https://twitter.com/toddmartintmt",,,"01.01.2023"
32,"1988",73,175,"Hoboken, New Jersey, USA","Mercer Island, Washington, USA","Right-Handed, Two-Handed Backhand","Carl Chang","http://www.mchang.com","http://www.atpworldtour.com/en/players/michael-chang/c274/overview",,,,"01.01.2023"
33,"1988",71,183,"Aranjuez, Spain","Madrid, Spain","Left-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/francisco-clavet/c252/overview",,,,"01.01.2023"
34,"1995",70,185,"Chartres, France","Geneva, Switzerland","Right-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/nicolas-escude/e140/overview","https://twitter.com/nicolassqd",,"https://www.instagram.com/nicosqd/","01.01.2023"
35,"1991",83,183,"Vaxjo, Sweden","Stockholm, Sweden","Right-Handed, Two-Handed Backhand",,"http://www.jonasbjorkman.com/","http://www.atpworldtour.com/en/players/jonas-bjorkman/b446/overview","https://twitter.com/BjorkmanTennis","https://www.facebook.com/Jonas-Bj%C3%B6rkman-475256139153317/","https://www.instagram.com/bjorkmantennis","01.01.2023"
36,"1996",70,175,"Buenos Aires, Argentina","Buenos Aires, Argentina","Right-Handed, One-Handed Backhand","Franco Davin",,"http://www.atpworldtour.com/en/players/gaston-gaudio/g374/overview","https://twitter.com/gastongaudio","https://www.facebook.com/gaston.gaudio.988/",,"01.01.2023"
37,"1995",80,183,"Holzminden, Germany","Sievershausen, Germany","Right-Handed, Two-Handed Backhand",,"http://www.nicolaskiefer.de","http://www.atpworldtour.com/en/players/nicolas-kiefer/k316/overview","https://twitter.com/nicolas_kiefer","https://www.facebook.com/Nicolas-Kiefer-26247995331/","https://www.instagram.com/nicolaskiefer/","01.01.2023"
38,"1995",86,188,"Guayaquil, Ecuador","Guayaquil/Miami, Florida, USA","Right-Handed, Two-Handed Backhand","Enrique Perez","http://www.nicolaslapentti.com","http://www.atpworldtour.com/en/players/nicolas-lapentti/l290/overview","https://twitter.com/nicolapentti","https://www.facebook.com/NicolasLapentti/","https://www.instagram.com/nicolapentti/","01.01.2023"
39,"1989",79,188,"Neuilly/Seine, France","Geneva, Switzerland","Right-Handed, Unknown Backhand","Pierre Cherret",,"http://www.atpworldtour.com/en/players/cedric-pioline/p226/overview",,,,"01.01.2023"
40,"1993",78,180,"Lerida, Spain","Barcelona, Spain","Right-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/albert-costa/c378/overview","https://twitter.com/albertcostilla","https://www.facebook.com/albert.costacasals/",,"01.01.2023"
41,"1996",76,180,"Benicarlo, Spain","Andorra","Right-Handed, One-Handed Backhand","Marcos Aurelio Gorriz",,"http://www.atpworldtour.com/en/players/fernando-vicente/v195/overview","https://twitter.com/vinsecte_fer",,,"01.01.2023"
42,"1989",95,196,"Rotterdam, The Netherlands","Muiderberg, The Netherlands","Right-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/richard-krajicek/k214/overview","https://twitter.com/richardkrajicek","https://www.facebook.com/Richard-Krajicek-143417525756010/",,"01.01.2023"
43,"1994",93,196,"Minsk, Belarus","Sarasota, FL, USA","Right-Handed, One-Handed Backhand","Nikolai Mirnyi",,"http://www.atpworldtour.com/en/players/max-mirnyi/m595/overview",,"https://www.facebook.com/blrmax","https://www.instagram.com/maxmirnyi","01.01.2023"
44,"1993",81,188,"Kolin, Czech Republic","Monte Carlo, Monaco","Right-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/bohdan-ulihrach/u032/overview",,"https://www.facebook.com/bohdan.ulihrach/",,"01.01.2023"
