id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
52394,65,35,30,381,158,66,70,50,57,36,216,178
21464,65,42,23,163,227,60,68,51,62,39,203,181
47557,77,47,30,237,178,54,69,50,63,41,0,0
28898,78,60,18,321,97,61,73,57,66,46,199,176
84235,94,71,23,426,319,64,73,50,62,47,0,0
93452,77,63,14,264,215,62,69,54,64,46,188,155
83795,76,53,23,418,329,56,71,49,58,45,0,0
18477,72,45,27,161,104,71,68,53,63,44,188,167
29180,75,39,36,431,207,62,72,49,64,38,221,186
26845,65,32,33,377,113,61,69,49,62,38,214,182
13048,61,36,25,212,167,60,69,53,57,42,192,179
82371,73,35,38,251,256,62,68,49,57,39,210,189
674,65,33,32,321,172,59,73,51,60,38,201,181
42971,66,39,27,207,271,62,67,47,58,48,203,175
18094,49,26,23,229,141,63,70,52,60,45,196,174
36449,44,30,14,533,82,63,76,52,60,37,213,188
56195,73,44,29,282,211,61,69,51,59,42,196,178
76298,78,58,20,530,151,63,74,52,58,41,209,190
79064,47,32,15,310,123,63,73,56,68,37,204,191
37085,57,33,24,385,163,65,74,52,66,35,200,183
35376,87,59,28,420,304,60,71,50,63,41,0,0
92184,67,49,18,282,224,57,72,52,59,44,194,173
52934,74,46,28,200,227,60,66,49,53,45,183,165
36594,47,34,13,298,141,65,71,54,67,39,199,187
80019,66,41,25,265,253,61,68,50,57,40,200,183
47543,68,37,31,407,147,61,71,50,58,40,214,194
12653,72,44,28,219,209,59,67,50,62,46,202,177
11881,45,30,15,173,108,63,68,51,63,42,199,180
91521,60,37,23,318,127,65,69,54,60,40,0,0
16996,59,33,26,357,84,63,73,52,63,37,202,182
17123,73,42,31,361,156,62,70,53,60,41,206,182
14727,64,33,31,585,298,60,73,49,60,39,209,184
36617,64,36,28,268,70,67,68,50,62,43,205,187
28074,69,41,28,271,155,60,67,52,60,42,181,162
94493,66,42,24,266,243,62,69,49,62,40,0,0
24840,45,21,24,210,177,60,68,49,61,38,213,187
677,20,12,8,39,37,69,66,50,58,45,0,0
30849,64,36,28,202,114,63,68,51,57,44,199,183
28932,72,39,33,568,326,64,71,45,60,36,220,184
70705,72,44,28,135,269,60,65,47,57,46,203,177
19689,72,47,25,463,176,63,72,53,64,39,194,172
67535,71,39,32,521,301,58,72,51,64,40,219,192
35297,68,40,28,520,140,59,75,54,67,40,211,188
81189,86,60,26,186,318,63,66,46,60,48,0,0
1092,32,12,20,224,69,56,74,51,59,35,207,188
20654,61,29,32,243,109,62,68,52,60,36,200,186
10828,63,37,26,148,193,63,66,51,60,42,228,174
9305,44,18,26,224,152,57,73,49,60,33,206,176
6691,60,28,32,87,112,64,64,50,57,40,186,161
73620,72,37,35,277,147,63,69,51,57,41,228,170
20465,42,25,17,208,69,61,69,53,60,44,198,180
67986,77,44,33,660,284,57,76,50,59,35,213,185
60625,63,35,28,210,114,67,66,51,60,43,0,0
71166,75,39,36,576,186,59,72,48,61,38,0,0
83794,72,39,33,250,281,54,68,50,57,40,202,172
74899,59,34,25,245,178,58,70,54,63,37,0,0
26421,66,33,33,258,104,66,68,51,62,44,200,177
22710,69,42,27,367,138,63,71,52,62,40,191,175
44555,57,26,31,262,140,58,70,48,59,36,201,179
23142,95,63,32,451,209,53,72,51,60,46,194,176
