TOUR,DATE_GAME,ID1,ID2,ROUND,DRAW,RESULT,COMPLETE,LIVE,TIME_GAME,RESERVE_INT,RESERVE_CHAR
16073,"03/26/25 14:00:00",98865,73116,4,6,"6-3 6-0",,,,,
16117,"03/26/25 14:00:00",57275,64934,4,11,"2-6 7-5 6-0",,,,,
16119,"03/26/25 13:40:00",87187,30653,4,9,"6-7(4) 6-0 6-0",,,,,
16121,"03/26/25 14:00:00",40292,79119,4,5,"6-2 6-3",,,,,
16119,,98857,73681,4,16,"6-4 6-4",,,,,
16120,"03/26/25 14:55:00",17040,72126,5,5,"1-6 6-1 6-4",,,,,
16117,,99931,99932,4,2,"6-0 6-1",,,,,
16118,"03/26/25 16:35:00",37530,75388,5,5,"6-2 7-6(6)",,,,,
15956,"03/20/25 23:40:00",13541,27032,5,10,"6-3 5-7 6-4",,,,,
15956,"03/20/25 22:30:00",9357,14054,5,11,"7-6(5) 6-2",,,,,
15956,"03/21/25 00:00:00",48254,17503,5,13,"3-6 6-4 7-5",,,,,
15956,"03/21/25 01:50:00",16430,24368,5,14,"6-2 6-4",,,,,
15956,"03/20/25 22:30:00",11449,17501,5,15,"6-4 7-6(7)",,,,,
15956,"03/20/25 18:00:00",14362,17062,5,16,"6-4 6-4",,,,,
15956,"03/21/25 19:30:00",53487,42098,5,17,"7-6(6) 2-6 7-6(3)",,,,,
15956,"03/22/25 01:00:00",41564,13706,5,19,"6-2 6-2",,,,,
15956,"03/22/25 01:30:00",77934,16119,5,20,"6-0 6-2",,,,,
15956,"03/21/25 18:00:00",34747,65911,5,21,"6-4 7-6(0)",,,,,
15956,"03/21/25 23:30:00",47742,18427,5,22,"7-5 4-6 6-3",,,,,
15956,"03/21/25 18:00:00",32480,52254,5,23,"6-1 6-3",,,,,
15956,"03/21/25 23:30:00",11712,14259,5,24,"6-4 6-4",,,,,
15956,"03/21/25 22:00:00",54989,16134,5,27,"6-4 7-5",,,,,
15956,"03/21/25 19:30:00",17142,74280,5,28,"7-5 1-6 7-6(3)",,,,,
15956,"03/22/25 00:00:00",18482,5416,5,29,"6-0 ret.",,,,,
15956,"03/22/25 01:00:00",11371,14056,5,30,"6-1 6-2",,,,,
15956,"03/21/25 19:30:00",13351,53793,5,31,"6-4 6-1",,,,,
15956,"03/21/25 19:00:00",45854,10455,5,32,"6-2 7-5",,,,,
15956,"03/22/25 20:30:00",18455,17774,6,1,"6-1 ret.",,,,,
15956,"03/23/25 02:00:00",11575,28732,6,2,"6-4 3-6 6-3",,,,,
15956,"03/23/25 04:00:00",53128,13621,6,3,"6-1 7-6(3)",,,,,
15956,"03/22/25 18:00:00",64343,49081,6,4,"6-1 7-5",,,,,
15956,"03/22/25 23:10:00",9357,65912,6,6,"7-5 6-4",,,,,
15956,"03/22/25 19:30:00",16430,48254,6,7,"7-6(6) 3-6 6-4",,,,,
15956,"03/22/25 18:00:00",14362,11449,6,8,"4-3 ret.",,,,,
15956,"03/24/25 02:00:00",41564,77934,6,10,"7-6(5) 2-6 6-3",,,,,
15956,"03/23/25 19:30:00",47742,34747,6,11,"6-2 6-1",,,,,
15956,"03/23/25 22:00:00",11712,32480,6,12,"6-7(3) 6-2 7-6(2)",,,,,
15956,"03/23/25 21:00:00",67792,11672,6,13,"6-4 6-2",,,,,
15956,"03/23/25 18:00:00",17142,54989,6,14,"6-3 7-6(3)",,,,,
15956,"03/23/25 19:00:00",45854,13351,6,16,"7-6(2) 6-1",,,,,
15956,"03/24/25 20:45:00",18455,11575,7,1,"6-4 6-4",,,,,
16073,"03/26/25 14:00:00",96498,69398,4,8,"7-5 4-6 10-6",,,,,
16116,"03/26/25 19:10:00",38210,13412,4,16,"6-1 6-1",,,,,
16124,"03/26/25 18:12:00",74188,94937,4,14,"6-3 5-7 6-2",,,,,
16116,"03/26/25 21:05:00",25863,54677,4,11,"6-2 6-3",,,,,
16118,"03/26/25 20:25:00",29728,39921,5,10,"1-6 6-4 6-0",,,,,
16072,"03/26/25 23:00:00",4110,33355,5,2,"2-6 6-3 6-2",,,,,
16118,"03/26/25 22:05:00",12439,60086,5,14,"7-5 7-6(3)",,,,,
16123,"03/27/25 07:35:00",79099,26342,5,5,"6-1 6-2",,,,,
16115,,97718,99784,4,3,"6-3 3-6 10-6",,,,,
16119,"03/27/25 10:06:00",82562,76667,5,7,"6-2 6-3",,,,,
16117,"03/27/25 11:05:00",37618,54384,5,3,"4-6 6-2 6-1",,,,,
16119,,98857,65909,5,8,"6-1 7-6(2)",,,,,
16073,"03/27/25 12:30:00",59448,45072,5,3,"6-3 3-6 6-0",,,,,
16124,,69518,99948,9,3,"6-1 6-1",,,,,
16125,,99961,89323,9,4,"6-0 6-2",,,,,
16117,"03/27/25 14:14:00",86330,8757,5,5,"6-7(6) 6-3 7-6(6)",,,,,
16073,"03/27/25 14:00:00",96498,99763,9,4,"4-6 7-6(7) 10-6",,,,,
16119,,80988,97954,9,3,"2-2 ret.",,,,,
16118,"03/27/25 18:05:00",73190,29728,6,5,"6-2 7-6(3)",,,,,
16116,"03/27/25 21:45:00",38210,14188,5,8,"6-4 6-3",,,,,
16072,"03/27/25 23:00:00",72414,16627,5,8,"6-4 6-1",,,,,
16123,"03/28/25 06:05:00",79099,37909,9,3,"7-5 5-4 ret.",,,,,
16117,"03/28/25 11:05:00",32675,44823,9,4,"6-4 6-3",,,,,
15956,"03/24/25 20:00:00",53128,64343,7,2,"6-2 7-6(3)",,,,,
15956,"03/24/25 22:00:00",9357,54663,7,3,"6-4 6-4",,,,,
15956,"03/24/25 18:00:00",14362,16430,7,4,"3-6 6-4 6-4",,,,,
15956,"03/24/25 21:30:00",53487,41564,7,5,"6-1 6-3",,,,,
15956,"03/24/25 23:35:00",11712,47742,7,6,"6-2 6-3",,,,,
15956,"03/25/25 05:00:00",45854,11371,7,8,"7-6(5) 6-3",,,,,
15956,"03/26/25 04:00:00",18455,53128,9,1,"6-2 7-5",,,,,
15956,"03/27/25 02:40:00",11712,53487,9,3,"6-4 6-7(3) 6-2",,,,,
15956,"03/26/25 20:00:00",67792,45854,9,4,"6-2 7-5",,,,,
15956,"03/27/25 22:00:00",18455,14362,10,1,"6-2 6-2",,,,,
15956,"03/28/25 05:10:00",11712,67792,10,2,"7-6(3) 5-7 6-3",,,,,
15956,"03/29/25 22:00:00",18455,11712,12,1,,,,,,
15956,"03/16/25 21:10:00",65912,8549,1,18,"6-3 6-3",,,,,
16124,,91618,56125,1,15,"6-4 7-6(7)",,,,,
16124,,87261,69740,1,30,"7-6(6) 6-1",,,,,
