id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
47437,2,0,2,2,5,66,37,31,43,28,0,0
47589,11,6,5,30,49,55,61,48,52,52,0,0
47694,1,0,1,0,3,72,31,27,25,16,0,0
47846,22,8,14,7,123,68,51,36,46,47,0,0
47866,2,0,2,1,17,57,55,23,15,68,0,0
47868,15,5,10,4,85,65,55,40,46,47,0,0
48113,8,1,7,2,23,71,50,43,52,50,0,0
48215,11,3,8,4,35,67,50,39,39,53,0,0
48237,1,0,1,0,5,72,47,29,40,75,0,0
48251,1,0,1,0,1,64,35,47,50,62,0,0
48409,7,3,4,3,20,62,54,39,34,54,0,0
48510,6,2,4,15,12,68,57,44,52,42,0,0
48512,17,9,8,8,68,67,58,44,55,54,0,0
48556,30,14,16,9,107,69,58,42,47,51,0,0
48557,7,4,3,12,55,46,65,43,50,51,0,0
48558,6,1,5,9,7,67,61,39,53,41,0,0
48704,16,2,14,22,74,62,56,38,41,39,0,0
48708,1,0,1,1,7,38,16,26,33,0,0,0
48709,9,4,5,6,22,67,53,42,36,39,0,0
48872,5,4,1,11,27,61,60,39,57,51,0,0
48907,1,0,1,0,8,47,35,26,14,100,0,0
48914,1,0,1,0,5,56,46,43,45,40,0,0
49082,3,0,3,1,13,63,42,39,50,16,0,0
49107,20,11,9,19,67,61,59,42,53,54,0,0
49271,1,0,1,1,5,66,58,39,61,30,0,0
49372,15,3,12,4,85,65,54,40,46,43,0,0
49387,12,3,9,4,63,69,55,38,50,41,0,0
49395,24,9,15,36,32,69,59,41,56,48,0,0
49503,2,1,1,6,13,62,58,42,46,44,0,0
49508,1,0,1,1,6,63,38,8,40,50,0,0
49517,1,0,1,1,6,63,31,23,22,18,0,0
49527,5,1,4,3,26,68,50,38,39,42,0,0
49692,5,1,4,8,16,65,51,36,48,54,0,0
49698,1,0,1,1,2,61,53,57,42,25,0,0
49845,27,16,11,27,41,73,59,50,50,55,0,0
49851,1,0,1,0,7,53,51,22,50,42,0,0
49868,25,10,15,37,133,60,58,39,51,49,0,0
50210,25,14,11,33,85,50,59,46,51,48,0,0
50292,1,0,1,2,3,71,58,27,61,80,0,0
50613,23,10,13,7,36,71,51,46,55,49,0,0
50753,11,6,5,2,31,66,56,47,56,52,0,0
50829,19,5,14,1,45,69,47,40,44,45,0,0
50848,1,0,1,0,4,44,23,12,0,0,0,0
50944,2,1,1,2,5,68,50,45,46,66,0,0
50945,35,13,22,48,348,49,61,34,48,47,0,0
50950,8,1,7,14,26,44,65,44,54,37,0,0
51067,2,0,2,0,22,50,47,33,22,61,0,0
51146,1,0,1,0,5,57,30,29,30,100,0,0
51155,9,1,8,15,59,49,61,33,47,46,0,0
51390,20,13,7,39,67,63,63,52,64,51,0,0
