ID_T,NAME_T,ID_C_T,DATE_T,RANK_T,LINK_T,COUNTRY_T,PRIZE_T,RATING_T,URL_T,LATITUDE_T,LONGITUDE_T,SITE_T,RACE_T,ENTRY_T,SINGLES_T,DOUBLES_T,TIER_T,RESERVE_INT_T,RESERVE_CHAR_T,LIVE_T,RESULT_T
43,"Wimbledon - London",5,"06/25/12 00:00:00",4,39,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
44,"U.S. Open - New York",1,"08/27/12 00:00:00",4,40,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
45,"Olympics - London",5,"07/30/12 00:00:00",2,,"GBR",,,"http://www.london2012.com/",51.3,-0.1,,,,,,"Olympic Tennis Event",,,,
46,"Australian Open - Melbourne",1,"01/14/13 00:00:00",4,41,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
47,"French Open - Paris",2,"05/27/13 00:00:00",4,42,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
48,"Wimbledon - London",5,"06/24/13 00:00:00",4,43,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
49,"U.S. Open - New York",1,"08/26/13 00:00:00",4,44,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
50,"Hopman Cup - Perth",1,"01/01/13 00:00:00",6,,"AUS",,,"http://www.hopmancup.com/",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
51,"Hopman Cup - Perth",1,"01/01/14 00:00:00",6,50,"AUS",,,"http://www.hopmancup.com/",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
52,"Australian Open - Melbourne",1,"01/13/14 00:00:00",4,46,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
53,"French Open - Paris",2,"05/26/14 00:00:00",4,47,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
54,"Wimbledon - London",5,"06/23/14 00:00:00",4,48,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
55,"U.S. Open - New York",1,"08/25/14 00:00:00",4,49,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
56,"Hopman Cup - Perth",3,"01/05/15 00:00:00",6,51,"AUS",,,"http://www.hopmancup.com/",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
